name,category,subcategory,editorial_group,locality,address,no_storefront,license,service_area,website,phone,verified_at
Valley Churches United Missions,Community & Nonprofit,Food pantry & family assistance,"Civic, emergency and community",Ben Lomond,9400 Highway 9,no,,San Lorenzo Valley / Scotts Valley,https://vcum.org/,831-336-8258,2026-07-17
Adina's Daycare,Education & Childcare,Family daycare,Education and childcare,Boulder Creek,,yes,"License #444406040 (Family Child Care Home, active; capacity 14, initial license 1991-09-06)",Boulder Creek,,831-338-3873,2026-07-17
Boulder Creek Elementary School,Education & Childcare,Public Elementary School,Education and childcare,Boulder Creek,400 Lomond Street,no,,Assigned SLVUSD attendance area,https://bce.slvusd.org/,831-338-6413,2026-07-15
Busy Bees Playschool,Education & Childcare,Family daycare,Education and childcare,Boulder Creek,,yes,"License #444417882 (Family Child Care Home, Boulder Creek, active). Second location: Busy Bees Playschool Two, License #444418540 (Child Care Center, active), 7985 B Highway 9, Ben Lomond.",Boulder Creek and Ben Lomond (San Lorenzo Valley),,831-251-0921,2026-08-08
Busy Bees Playschool Two,Education & Childcare,Child care center,Education and childcare,Ben Lomond,7985 Highway 9,no,"License #444418540 (child care center, active)",San Lorenzo Valley,,831-289-3012,2026-08-08
Community Mountain Gymnastics,Education & Childcare,"Youth gymnastics classes, camps, and parties",Education and childcare,Felton,6171 Highway 9,no,,"Felton, Scotts Valley, and the Santa Cruz Mountains",https://www.communitymountaingym.com/,831-216-6186,2026-07-17
Highlands Park Early Education Center,Education & Childcare,Child care center,Education and childcare,Ben Lomond,8500 Highway 9,no,"California licensed day care center / infant center (CCLD #444413303, capacity 16)",San Lorenzo Valley and Santa Cruz County,https://communitybridges.org/eed/,831-400-1170,2026-07-17
Kreative Kids Preschool,Education & Childcare,Recreation preschool program,Education and childcare,Ben Lomond,"Wilder Hall, Ben Lomond Park, 9525 Mill Street",no,License-exempt recreation program (Santa Cruz County Parks; no state child care license required),San Lorenzo Valley and Santa Cruz County,https://parks.santacruzcountyca.gov/Home/FindaProgram/Recreation/KreativeKidsPreschool.aspx,,2026-07-24
Little Explorers (BCRPD),Education & Childcare,Recreation preschool program,Education and childcare,Boulder Creek,"13333 Middleton Avenue, Boulder Creek, CA 95006",no,,,https://www.bcrpd.org/,831-338-4144,2026-07-17
Little People's School,Education & Childcare,Infant and toddler daycare,Education and childcare,Boulder Creek,13155 Oak Street,no,"License #444414367 (Infant Center, active; capacity 13). CDSS Community Care Licensing, San Jose regional office.",Boulder Creek,,831-566-4236,2026-07-24
Mathnasium of Scotts Valley,Education & Childcare,Tutoring,Education and childcare,Scotts Valley,"245 Mt Hermon Road, Suite J",no,,"Scotts Valley, Felton, Ben Lomond, Bonny Doon, and Boulder Creek",https://www.mathnasium.com/math-centers/scottsvalley,831-706-9907,2026-07-16
Messy Play Kits,Education & Childcare,Children's sensory play kits and classes,Education and childcare,Boulder Creek,,yes,,Boulder Creek and Santa Cruz County; kits ship nationwide,https://messyplaykits.com/,,2026-07-17
Miss Brooke's Mini & Me Music Classes,Education & Childcare,Children's music and movement classes,Education and childcare,Boulder Creek,,yes,,Boulder Creek and the San Lorenzo Valley,https://www.instagram.com/missmakermomma/,,2026-07-17
Mountain Music School SV,Education & Childcare,Music lessons,Education and childcare,Scotts Valley,216A Mount Hermon Road,no,,Scotts Valley and surrounding communities,https://mountainmusicschoolsv.com/,831-201-9605,2026-07-16
Osito's Day Care,Education & Childcare,Family daycare,Education and childcare,Ben Lomond,,yes,"License #444409511 (Family Child Care Home, active; capacity 8). Home-based, so no address is published.",Ben Lomond and San Lorenzo Valley,,831-336-8486,2026-07-17
Rivendell Music Academy,Education & Childcare,Music lessons,Education and childcare,Felton,6215 Highway 9,no,,"Felton, Ben Lomond, and Boulder Creek",https://rivendellmusicacademy.com/,831-400-3344,2026-07-16
San Lorenzo Valley Unified School District,Education & Childcare,Public School District,Education and childcare,Ben Lomond,325 Marion Avenue,no,,"San Lorenzo Valley, including Boulder Creek",https://www.slvusd.org/,831-336-5194,2026-07-15
Santa Cruz County Child Development Resource Center,Education & Childcare,Child Care Referral,Education and childcare,Santa Cruz,400 Encinal Street,no,,"County families, including Boulder Creek",https://childcare.santacruzcoe.org/,831-466-5820,2026-07-15
Seeds of Knowledge Preschool,Education & Childcare,Preschool,Education and childcare,Boulder Creek,16900 Highway 9,no,License #444414586 (active).,Boulder Creek,https://seedsofknowledgeprek.com/,831-251-5711,2026-07-15
Tails of Redwood Trails LLC,Education & Childcare,"Youth horse education, camps, and lessons",Education and childcare,Felton,220 Covered Bridge Road,no,,Felton and the tri-county region,https://www.tailsofredwoodtrails.com/,831-706-7482,2026-07-17
Arch Electric,Electrical & Solar,Electrical contractor,Building and maintaining property,San Lorenzo Valley,,yes,CSLB #945992 (C-10),,https://archelectric831.com/,831-359-8747,2026-07-17
Big Basin Electric,Electrical & Solar,Electrical contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #1124539 (active, C-10)",Boulder Creek and San Lorenzo Valley,,831-334-8297,2026-07-15
Farinsky Energy Solutions,Electrical & Solar,Solar installer,Building and maintaining property,Ben Lomond,,yes,"CSLB #1118587 (active, C-46/C-10)",,,831-246-0915,2026-07-17
Jessi Phillips Electric,Electrical & Solar,Electrical contractor,Building and maintaining property,Ben Lomond,,yes,"CSLB #980978 (active, C-10)",,,831-246-2948,2026-07-16
Nolf Electric Services,Electrical & Solar,Residential electrical contractor,Building and maintaining property,Boulder Creek,,no,"CSLB #981732 (active, C-10)",San Lorenzo Valley,https://nextdoor.com/pages/nolf-electric-services,831-251-1552,2026-07-22
PCIS,Electrical & Solar,Electrical and low-voltage contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #1082718 (active, C-7)","Boulder Creek and regional residential, commercial, and industrial clients",https://pcisnet.com/,650-759-2682,2026-07-15
SE Electric,Electrical & Solar,Electrical contractor,Building and maintaining property,Boulder Creek,"12788 Highway 9, Suite 2",no,"CSLB #880002 (active, C-10)",Boulder Creek and surrounding Santa Cruz County communities,https://seelectric.net/,831-239-6635,2026-07-15
Wilson Electric,Electrical & Solar,Electrical contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #1058620 (active, C-10)",,,669-300-1333,2026-07-16
9-1-1 Emergency Dispatch,Emergency & Public Safety,Emergency Dispatch,"Civic, emergency and community",Santa Cruz County,,no,,"Santa Cruz County, including Boulder Creek",https://www.scr911.org/general/page/who-are-we,911,2026-07-15
Ben Lomond Fire Protection District,Emergency & Public Safety,Fire protection district,"Civic, emergency and community",Ben Lomond,9430 Highway 9,no,,Ben Lomond and the San Lorenzo Valley,https://benlomondfd.com/,831-336-5495,2026-07-22
Boulder Creek Fire Protection District,Emergency & Public Safety,Fire & Rescue,"Civic, emergency and community",Boulder Creek,13230 Central Avenue,no,,Boulder Creek and Brookdale,https://www.bcfd.com/,831-338-7222,2026-07-15
Boulder Creek Sheriff's Service Center,Emergency & Public Safety,Law Enforcement Service Center,"Civic, emergency and community",Boulder Creek,13210 Central Avenue,no,,Boulder Creek area,https://shf.santacruzcountyca.gov/SheriffHome/MyCommunity/BoulderCreek.aspx,831-454-7440,2026-07-15
CAL FIRE CZU / Santa Cruz County Fire,Emergency & Public Safety,Wildland Fire Agency,"Civic, emergency and community",Felton,6059 Highway 9,no,,Santa Cruz County and CAL FIRE CZU area,https://www.fire.ca.gov/,831-335-5353,2026-07-15
CruzAware Emergency Alerts,Emergency & Public Safety,Emergency Alerts,"Civic, emergency and community",Santa Cruz County,,no,,Santa Cruz County,https://www.cruzaware.org/,,2026-07-15
Felton Fire Protection District,Emergency & Public Safety,Fire protection district,"Civic, emergency and community",Felton,131 Kirby Street,no,,Felton and surrounding areas,https://feltonfire.com/,831-335-4422,2026-07-22
Santa Cruz County Adult Protective Services,Emergency & Public Safety,Elder & Dependent Adult Protection,"Civic, emergency and community",Watsonville,500 Westridge Drive,no,,Santa Cruz County,https://www.santacruzhumanservices.org/AdultLongTermCare/AdultProtectiveServices/Whoshouldreportabuse,866-580-4357,2026-07-15
Santa Cruz County Child Abuse and Neglect Reporting Line,Emergency & Public Safety,Child Protection,"Civic, emergency and community",Santa Cruz County,,no,,Santa Cruz County,https://www.santacruzhumanservices.org/FamilyChildren/ChildWelfareServices/Investigations,877-505-3299,2026-07-15
Santa Cruz County Road Operations Dispatch,Emergency & Public Safety,Road Hazards,"Civic, emergency and community",Santa Cruz,2700 Brommer Street,no,,"County-maintained roads, including Boulder Creek",https://cdi.santacruzcountyca.gov/PublicWorks/ContactUs.aspx,831-477-3999,2026-07-15
Santa Cruz County Sheriff Non-Emergency Dispatch,Emergency & Public Safety,Law Enforcement,"Civic, emergency and community",Santa Cruz County,,no,,"Unincorporated County, including Boulder Creek",https://www.scr911.org/general/page/contact-us,831-471-1121,2026-07-15
Scotts Valley Fire District,Emergency & Public Safety,Fire protection district,"Civic, emergency and community",Scotts Valley,7 Erba Lane,no,,Scotts Valley and surrounding areas,https://scottsvalleyfire.com/,831-438-0211,2026-07-22
Walnut Avenue Domestic Violence Helpline,Emergency & Public Safety,Domestic Violence Support,"Civic, emergency and community",Santa Cruz,303 Walnut Avenue,no,,"Santa Cruz County, including Boulder Creek",https://www.wafwc.org/domestic-violence,866-269-2559,2026-07-15
Zayante Fire Protection District,Emergency & Public Safety,Fire protection district,"Civic, emergency and community",Felton,7700 East Zayante Road,no,,Zayante and Lompico,https://zayantefire.com/,831-335-5100,2026-07-22
Creekside Mini Storage,Errands & Essentials,Self storage,Shopping and errands,Scotts Valley,"4604 Scotts Valley Drive, Suite 16",no,,Scotts Valley and the San Lorenzo Valley,https://www.creeksideministorage.com/,831-438-0985,2026-07-16
Doughlicious Farmstand,Errands & Essentials,Farm stand,Shopping and errands,Boulder Creek,,yes,,,,,2026-07-17
The Mat - Boulder Creek Laundry,Errands & Essentials,Laundromat,Shopping and errands,Boulder Creek,12890 Highway 9,no,,Boulder Creek and the San Lorenzo Valley,https://www.bouldercreeklaundry.com/,831-609-4958,2026-07-16
Valley Mini Storage,Errands & Essentials,Self storage,Shopping and errands,Felton,5865 Graham Hill Road,no,,San Lorenzo Valley,https://www.valleyministorageca.com/,831-335-3931,2026-07-16
Amphitheater of the Redwoods at Pema Osel Ling,Event Venues,Wedding and event venue,"Weddings, parties and events",Watsonville,,no,,Santa Cruz County,https://www.amphitheateroftheredwoods.com/,,2026-07-17
Felton Community Hall,Event Venues,Community hall rental,"Weddings, parties and events",Felton,6191 Highway 9,no,,Felton and the San Lorenzo Valley,https://www.feltonhall.org/,831-335-5621,2026-07-17
Felton Guild,Event Venues,Wedding and event venue,"Weddings, parties and events",Felton,5449 Highway 9,no,,Felton and the San Lorenzo Valley,https://www.feltonguildweddings.com/,831-336-8093,2026-07-17
Highlands House,Event Venues,Wedding and event venue,"Weddings, parties and events",Ben Lomond,8500 Highway 9,no,,Santa Cruz County (county-operated park venue),https://parks.santacruzcountyca.gov/Home/ExploreOurParksBeaches/AllCountyParks/HighlandsCountyPark.aspx,831-454-7901,2026-07-17
Hilton Santa Cruz / Scotts Valley,Event Venues,Hotel wedding venue,"Weddings, parties and events",Scotts Valley,,no,,Scotts Valley and Santa Cruz County,https://www.hilton.com/en/hotels/sjcsvhf-hilton-santa-cruz-scotts-valley/,,2026-07-17
Kennolyn Events,Event Venues,Wedding and event venue,"Weddings, parties and events",Soquel,8400 Glen Haven Road,no,,Santa Cruz County (Soquel; regional destination venue),https://www.kennolyn.com/,831-479-6700,2026-07-17
Quail Hollow Ranch County Park,Event Venues,Wedding and event venue,"Weddings, parties and events",Felton,,no,,San Lorenzo Valley and Santa Cruz County,https://parks.santacruzcountyca.gov/,,2026-07-17
Sydalyn Hill,Event Venues,Wedding and event venue,"Weddings, parties and events",Felton,,no,,Felton and the San Lorenzo Valley,https://sydalynhill.com/,408-892-1994,2026-07-17
The Barn at River House,Event Venues,Wedding and event venue,"Weddings, parties and events",Ben Lomond,200 Holiday Lane,no,,Ben Lomond and the San Lorenzo Valley,https://www.facebook.com/TheRiverHouseBenLomond/,831-688-0355,2026-07-17
The Sequoia Retreat Center,Event Venues,Wedding and retreat venue,"Weddings, parties and events",Ben Lomond,11445 Alba Road,no,,Ben Lomond and the San Lorenzo Valley,https://www.sequoiaretreatcenter.com/,831-218-5872,2026-07-17
Waterfall Lodge and Retreat,Event Venues,Wedding and event venue,"Weddings, parties and events",Ben Lomond,325 Hidden Falls Trail,no,,Ben Lomond and the San Lorenzo Valley,https://waterfallsantacruz.com/,831-212-3895,2026-07-17
Affordable Septic & Excavating Services,"Excavation, Grading & Paving",Septic and excavation,Building and maintaining property,Boulder Creek,,yes,"CSLB #570532 (active, B, A)","Boulder Creek, San Lorenzo Valley, and Santa Cruz County",https://www.affordablesepticandexcavatingservices.com/,831-338-8900,2026-07-15
"Jeff Hill & Sons Excavation and Grading, Inc.","Excavation, Grading & Paving",Excavation and grading,Building and maintaining property,Ben Lomond,,yes,"CSLB #533150 (active, A)",,https://jeffhillandsons.com/,831-336-5092,2026-07-16
Josh Sladwick Engineering,"Excavation, Grading & Paving",Grading and excavation,Building and maintaining property,Boulder Creek,,yes,"CSLB #1033305 (active, A)",,,831-566-3324,2026-07-16
Miller Paving,"Excavation, Grading & Paving",Paving and grading,Building and maintaining property,Ben Lomond,,yes,"CSLB #872042 (active, A)",,https://www.miller-paving.com/,831-566-2035,2026-07-16
"MTM Truck & Tractor, Inc.","Excavation, Grading & Paving",Excavation and tractor work,Building and maintaining property,Ben Lomond,,yes,"CSLB #648419 (active, A)",,,831-336-3600,2026-07-16
Dahlias & Details,Florists,Florist,"Weddings, parties and events",Capitola,,no,,Santa Cruz County,https://www.dahliasanddetails.com/,,2026-07-17
Ferrari Florist & Gardens,Florists,Florist,"Weddings, parties and events",Santa Cruz,415F River Street,no,,"Santa Cruz County, including Boulder Creek",https://www.ferrariflorist.com/,831-460-7000,2026-07-17
Redwood & Ranunculus,Florists,Florist / floral studio,"Weddings, parties and events",Felton,Downtown Felton,no,,San Lorenzo Valley,https://makesommart.com/,831-706-8447,2026-07-17
Seascape Flowers,Florists,Florist,"Weddings, parties and events",Aptos,,no,,Santa Cruz County,https://seascapeflowers.com/,,2026-07-17
Wild Iris Floral and Botanical,Florists,Florist,"Weddings, parties and events",Felton,6227 Highway 9,no,,"Felton, Scotts Valley, Ben Lomond, Brookdale, Boulder Creek (within 1 mile of town limits), and Santa Cruz",https://www.wildirisfloral.com/,831-278-0151,2026-07-17
Woodland Floral & Creations,Florists,Wood florist (sola flower creations),"Weddings, parties and events",Boulder Creek,,yes,,Boulder Creek and the San Lorenzo Valley,https://www.facebook.com/Wfcbouldercreek/,801-564-9944,2026-07-17
Fruition Brewing,Food and Drink,Brewery and taproom,Other,Watsonville,918 E Lake Ave,no,,Santa Cruz County,https://www.fruitionbrewing.com/,,2026-08-16
Steel Bonnet Brewing Company,Food and Drink,Brewery and taproom,Other,Scotts Valley,20 Victor Square,no,,Santa Cruz County,https://www.steelbon.net/,,2026-08-16
Aaron Chase Construction,General Contractors & Construction,General contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #1063144 (active, B)",,,831-566-1336,2026-07-16
Boulder Creek Concrete,General Contractors & Construction,Concrete contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #1142895 (active, C-8)",,,650-669-2547,2026-07-17
California Custom Painting and Design,General Contractors & Construction,Painting contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #1019283 (active, C-33)",,,408-561-3447,2026-07-17
Christopher A New Roofing,General Contractors & Construction,Roofing contractor,Building and maintaining property,Ben Lomond,,yes,"CSLB #668255 (active, C-39)",,,831-336-3553,2026-07-17
Dixon Construction,General Contractors & Construction,General contractor,Building and maintaining property,Felton,,yes,"CSLB #635141 (active, B)",,https://dixonconstruct.com/,831-335-3162,2026-07-16
"Eric Martin Construction, Inc.",General Contractors & Construction,General contractor,Building and maintaining property,Ben Lomond,,yes,"CSLB #981846 (active, B)",,,408-768-3905,2026-07-16
Fine Edge Painting,General Contractors & Construction,Painting contractor,Building and maintaining property,Felton,,yes,"CSLB #1110102 (active, C-33)",,,831-278-0698,2026-07-17
Gary Fox Cabinets,General Contractors & Construction,Cabinet maker,Building and maintaining property,Boulder Creek,,yes,"CSLB #697984 (active, B)",,,831-238-4262,2026-07-17
